Ticker;Publico Alvo;Tipo de FII;Administrador;ultimo_rendimento_reais;ultimo_rendimento_perc;Data Pagamento;Data Base;rend_medio_12m_reais;rend_medio_12m_perc;patrimonio_por_cota;cotacao_por_vp;nro_negocios_por_mes;participacao_IFIX;Numero Cotistas;Patrimonio;Cota base
HSRE11;Geral;Tijolo: Híbrido;BRL Trust DTVM;0,54;0,58;08/06/2021;31/05/2021;0,20;0,22;96,87;0,96;493,00;0,00;29,00;825174359,56;93,00
HTMX11;Geral;Tijolo: Hotéis;BTG Pactual;0,71;0,45;06/03/2020;28/02/2020;0,83;0,53;130,57;1,20;6605,00;0,13;24484,00;164134688,37;156,93
HUSC11;Geral;Tijolo: Hospital;Rio Bravo Investimentos;0,73;0,54;15/06/2021;31/05/2021;0,77;0,57;130,17;1,03;284,00;0,00;666,00;103437354,92;134,00
HUSI11;Geral;Tijolo: Hospital;Planner Corretora de Valores;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;952,58;0,00;1,00;0,00;77,00;95602971,30;0,00
IBFF11;Geral;Papel: Fundo de Fundos;BTG Pactual;0,50;0,73;17/06/2021;10/06/2021;0,00;0,00;83,50;0,83;4969,00;0,00;5410,00;55666031,82;68,95
IFID11;Geral;Papel: Fundo de Fundos;Inter DTVM;0,88;0,94;15/06/2021;31/05/2021;0,19;0,20;92,56;1,02;2955,00;0,00;2094,00;69249052,19;94,00
IFIE11;Geral;Papel: Fundo de Fundos;Inter DTVM;0,41;0,42;14/05/2021;30/04/2021;0,24;0,24;87,71;1,11;2314,00;0,00;6368,00;78985256,49;97,00
IRDM11;Geral;Papel: CRIs;BTG Pactual;1,15;0,88;17/06/2021;10/06/2021;0,00;0,00;98,54;1,33;146462,00;2,72;161996,00;2167872890,70;131,00
JFLL11;Geral;Tijolo: Outros;Banco Genial;0,62;0,65;15/06/2021;31/05/2021;0,21;0,22;96,68;0,98;4330,00;0,00;1558,00;145082024,05;94,73
JPPA11;Geral;Papel: CRIs;Vórtx DTVM LTDA;1,06;1,06;09/06/2021;31/05/2021;0,85;0,85;103,75;0,96;815,00;0,00;384,00;62661769,59;100,00
JPPC11;Geral;Tijolo: Desenvolvimento;Banco Finaxis;18,82;0,00;15/06/2021;31/05/2021;2,80;0,00;461,17;0,00;4,00;0,00;79,00;25364609,24;0,00
JRDM11;Geral;Tijolo: Shoppings;BTG Pactual;0,16;0,23;15/06/2021;08/06/2021;0,15;0,22;87,51;0,78;2056,00;0,00;5492,00;220785848,59;68,27
JSRE11;Geral;Tijolo: Escritórios;Banco J Safra;0,53;0,58;22/06/2021;31/05/2021;0,56;0,61;113,49;0,81;71054,00;1,90;44351,00;2356825185,46;91,47
JTPR11;Geral;Tijolo: Desenvolvimento;Planner Corretora de Valores;1,63;0,00;28/09/2020;31/08/2020;0,38;0,00;110,85;0,00;0,00;0,00;9,00;23796389,95;0,00
KEVE11;Investidor Qualificado;Tijolo: Desenvolvimento;INTRAG DTVM;0,00;0,00;00/00/0000;00/00/0000;0,00;0,00;1009,72;0,00;312,00;0,00;383,00;149136752,30;0,00
KFOF11;Geral;Papel: Fundo de Fundos;INTRAG DTVM;0,55;0,60;15/06/2021;31/05/2021;0,58;0,62;103,28;0,89;7017,00;0,42;7010,00;468185948,21;92,29
KINP11;Investidor Qualificado;Tijolo: Desenvolvimento;INTRAG DTVM;0,19;1,39;15/04/2021;31/03/2021;0,07;0,51;8,72;1,57;200,00;0,00;444,00;62324980,79;13,70
KISU11;Geral;Papel: Fundo de Fundos;Vórtx DTVM LTDA;0,64;0,53;15/06/2021;31/05/2021;0,00;0,00;92,26;1,31;49375,00;0,00;24652,00;70420763,26;120,68
KNCR11;Geral;Papel: CRIs;INTRAG DTVM;0,35;0,38;14/06/2021;31/05/2021;0,33;0,36;98,48;0,92;69636,00;3,62;67565,00;3850279410,01;91,02
KNHY11;Investidor Qualificado;Papel: CRIs;INTRAG DTVM;1,09;0,97;14/06/2021;31/05/2021;0,97;0,86;102,33;1,10;23839,00;1,22;6548,00;1093944959,36;112,27
KNIP11;Investidor Qualificado;Papel: CRIs;INTRAG DTVM;1,13;1,03;14/06/2021;31/05/2021;0,98;0,90;103,15;1,06;116700,00;5,22;56882,00;4862128060,12;109,60
KNRE11;Investidor Qualificado;Tijolo: Desenvolvimento;INTRAG DTVM;0,04;1,10;15/01/2021;30/12/2020;0,15;4,14;2,50;1,46;3409,00;0,00;7034,00;46336196,31;3,65
KNRI11;Geral;Tijolo: Híbrido;INTRAG DTVM;0,69;0,48;15/06/2021;31/05/2021;0,72;0,50;156,03;0,92;82660,00;3,47;235231,00;3769251648,72;143,72
KNSC11;Geral;Papel: CRIs;INTRAG DTVM;1,00;0,96;14/06/2021;31/05/2021;0,55;0,53;95,38;1,09;66398,00;0,60;19030,00;613319321,47;103,98
LASC11;Geral;Tijolo: Shoppings;Vórtx DTVM LTDA;0,24;0,26;08/06/2021;31/05/2021;0,38;0,41;103,28;0,90;86,00;0,00;141,00;260083653,39;93,08
LATR11B;Investidor Qualificado;Tijolo: Desenvolvimento;Oliveira Trust;3,67;1,47;16/12/2020;09/12/2020;43,37;17,35;28,92;8,64;31,00;0,00;163,00;3589511,84;250,00
LFTT11;Investidor Qualificado;Tijolo: Desenvolvimento;Modal DTVM;0,75;0,71;15/04/2021;31/03/2021;0,28;0,26;61,15;1,73;589,00;0,00;364,00;429557690,92;105,99
LGCP11;Geral;Tijolo: Galpões;Inter DTVM;0,54;0,57;15/06/2021;31/05/2021;0,50;0,53;98,80;0,95;4988,00;0,00;9733,00;270011706,16;93,94
LOFT11B;Investidor Qualificado;Tijolo: Desenvolvimento;Modal DTVM;0,20;0,72;15/04/2021;31/03/2021;0,76;2,72;78,88;0,35;179,00;0,00;101,00;181978456,88;27,98
LUGG11;Geral;Tijolo: Outros;Inter DTVM;0,54;0,57;15/06/2021;31/05/2021;0,52;0,55;109,46;0,87;1262,00;0,00;4384,00;98513437,42;95,00
LVBI11;Geral;Tijolo: Galpões;BTG Pactual;0,56;0,53;08/06/2021;31/05/2021;0,59;0,56;110,31;0,96;75627,00;1,37;35409,00;1298931844,06;105,45
MALL11;Geral;Tijolo: Shoppings;Genial Investimentos Corretora de Valores;0,45;0,46;15/06/2021;31/05/2021;0,44;0,45;104,80;0,93;34738,00;0,75;85219,00;792318974,41;97,05
MAXR11;Geral;Tijolo: Varejo;BTG Pactual;0,42;0,45;15/06/2021;08/06/2021;0,66;0,71;117,71;0,79;1651,00;0,00;3066,00;132504820,48;92,90
MBRF11;Geral;Tijolo: Escritórios;Rio Bravo Investimentos;7,15;0,81;15/06/2021;07/06/2021;0,00;0,00;1141,33;0,78;766,00;0,00;2840,00;116031980,30;885,40
MCCI11;Geral;Papel: CRIs;BTG Pactual;0,90;0,87;18/06/2021;11/06/2021;0,00;0,00;100,76;1,03;101522,00;0,93;45411,00;899538457,59;103,36
MFAI11;Geral;Híbrido (Tijolo/Papel);Planner Trustee DTVM LTDA;0,89;0,89;15/06/2021;31/05/2021;1,19;1,19;95,00;1,05;2339,00;0,00;3756,00;28802721,72;99,63
MFII11;Geral;Tijolo: Desenvolvimento;Planner Corretora de Valores;0,91;0,79;15/06/2021;31/05/2021;1,08;0,94;118,46;0,97;12808,00;0,48;29520,00;470741477,83;115,14
MGCR11;Geral;Papel: CRIs;BTG Pactual;0,70;0,71;21/06/2021;14/06/2021;0,00;0,00;95,19;1,04;5094,00;0,00;1579,00;135393278,97;99,14
