"","Publico.Alvo","Tipo.de.FII","Administrador","ultimo_rendimento_reais","ultimo_rendimento_perc","Data.Pagamento","Data.Base","rend_medio_12m_reais","rend_medio_12m_perc","patrimonio_por_cota","cotacao_por_vp","nro_negocios_por_mes","participacao_IFIX","Numero.Cotistas","Patrimonio","Cota.base","fiis_clust","fiis.k6.cluster"
"KISU11","Geral","Papel: Fundo de Fundos","Vórtx DTVM LTDA",0.64,0.53,"15/06/2021","31/05/2021",0,0,92.26,1.31,49375,0,24652,70420763.26,120.68,1,2
"KNCR11","Geral","Papel: CRIs","INTRAG DTVM",0.35,0.38,"14/06/2021","31/05/2021",0.33,0.36,98.48,0.92,69636,3.62,67565,3850279410.01,91.02,3,1
"KNHY11","Investidor Qualificado","Papel: CRIs","INTRAG DTVM",1.09,0.97,"14/06/2021","31/05/2021",0.97,0.86,102.33,1.1,23839,1.22,6548,1093944959.36,112.27,4,5
"KNIP11","Investidor Qualificado","Papel: CRIs","INTRAG DTVM",1.13,1.03,"14/06/2021","31/05/2021",0.98,0.9,103.15,1.06,116700,5.22,56882,4862128060.12,109.6,3,1
"KNRE11","Investidor Qualificado","Tijolo: Desenvolvimento","INTRAG DTVM",0.04,1.1,"15/01/2021","30/12/2020",0.15,4.14,2.5,1.46,3409,0,7034,46336196.31,3.65,1,2
"KNRI11","Geral","Tijolo: Híbrido","INTRAG DTVM",0.69,0.48,"15/06/2021","31/05/2021",0.72,0.5,156.03,0.92,82660,3.47,235231,3769251648.72,143.72,3,1
"KNSC11","Geral","Papel: CRIs","INTRAG DTVM",1,0.96,"14/06/2021","31/05/2021",0.55,0.53,95.38,1.09,66398,0.6,19030,613319321.47,103.98,4,5
"LASC11","Geral","Tijolo: Shoppings","Vórtx DTVM LTDA",0.24,0.26,"08/06/2021","31/05/2021",0.38,0.41,103.28,0.9,86,0,141,260083653.39,93.08,1,2
"LATR11B","Investidor Qualificado","Tijolo: Desenvolvimento","Oliveira Trust",3.67,1.47,"16/12/2020","09/12/2020",43.37,17.35,28.92,8.64,31,0,163,3589511.84,250,6,4
"LFTT11","Investidor Qualificado","Tijolo: Desenvolvimento","Modal DTVM",0.75,0.71,"15/04/2021","31/03/2021",0.28,0.26,61.15,1.73,589,0,364,429557690.92,105.99,1,2
"LGCP11","Geral","Tijolo: Galpões","Inter DTVM",0.54,0.57,"15/06/2021","31/05/2021",0.5,0.53,98.8,0.95,4988,0,9733,270011706.16,93.94,1,2
"LOFT11B","Investidor Qualificado","Tijolo: Desenvolvimento","Modal DTVM",0.2,0.72,"15/04/2021","31/03/2021",0.76,2.72,78.88,0.35,179,0,101,181978456.88,27.98,1,2
"LUGG11","Geral","Tijolo: Outros","Inter DTVM",0.54,0.57,"15/06/2021","31/05/2021",0.52,0.55,109.46,0.87,1262,0,4384,98513437.42,95,1,2
"LVBI11","Geral","Tijolo: Galpões","BTG Pactual",0.56,0.53,"08/06/2021","31/05/2021",0.59,0.56,110.31,0.96,75627,1.37,35409,1298931844.06,105.45,4,5
"MALL11","Geral","Tijolo: Shoppings","Genial Investimentos Corretora de Valores",0.45,0.46,"15/06/2021","31/05/2021",0.44,0.45,104.8,0.93,34738,0.75,85219,792318974.41,97.05,4,5
"MAXR11","Geral","Tijolo: Varejo","BTG Pactual",0.42,0.45,"15/06/2021","08/06/2021",0.66,0.71,117.71,0.79,1651,0,3066,132504820.48,92.9,1,2
"MBRF11","Geral","Tijolo: Escritórios","Rio Bravo Investimentos",7.15,0.81,"15/06/2021","07/06/2021",0,0,1141.33,0.78,766,0,2840,116031980.3,885.4,2,2
"MCCI11","Geral","Papel: CRIs","BTG Pactual",0.9,0.87,"18/06/2021","11/06/2021",0,0,100.76,1.03,101522,0.93,45411,899538457.59,103.36,4,5
"MFAI11","Geral","Híbrido (Tijolo/Papel)","Planner Trustee DTVM LTDA",0.89,0.89,"15/06/2021","31/05/2021",1.19,1.19,95,1.05,2339,0,3756,28802721.72,99.63,1,2
"MFII11","Geral","Tijolo: Desenvolvimento","Planner Corretora de Valores",0.91,0.79,"15/06/2021","31/05/2021",1.08,0.94,118.46,0.97,12808,0.48,29520,470741477.83,115.14,1,2
"MGCR11","Geral","Papel: CRIs","BTG Pactual",0.7,0.71,"21/06/2021","14/06/2021",0,0,95.19,1.04,5094,0,1579,135393278.97,99.14,2,2
"MGFF11","Geral","Papel: Fundo de Fundos","BTG Pactual",0.55,0.66,"17/06/2021","08/06/2021",0.62,0.74,84.54,0.99,42201,0.76,51364,765165830.09,83.67,4,5
"MGHT11","Investidor Qualificado","Tijolo: Hotéis","BTG Pactual",1,1.02,"18/06/2021","11/06/2021",0,0,101.82,0.96,858,0,295,106716794.02,97.99,2,2
"MINT11","Investidor Qualificado","Tijolo: Educacional","Brasil Plural SA Banco Múltiplo",0,0,"00/00/0000","00/00/0000",0,0,100.11,0,304,0,64,52059602.97,0,2,2
"MORE11","Investidor Qualificado","Papel: Fundo de Fundos","BTG Pactual",0.67,0.74,"21/06/2021","14/06/2021",0,0,98.05,0.93,5520,0,5881,227393363.31,90.95,2,2
"MTOF11","Geral","Tijolo: Escritórios","Oliveira Trust",0,0,"00/00/0000","00/00/0000",0,0,92,0,0,0,3,164963990.19,0,2,2
"MXRF11","Geral","Papel: CRIs","BTG Pactual",0.07,0.66,"15/06/2021","31/05/2021",0.08,0.73,10,1.06,347123,2.39,393767,2259874256.91,10.57,3,1
"NAVT11","Geral","Papel: Fundo de Fundos","BTG Pactual",0.6,0.67,"21/06/2021","14/06/2021",0,0,95.99,0.93,5230,0,2247,101218902.51,89.48,2,2
"NCHB11","Geral","Papel: CRIs","BTG Pactual",0.91,0.96,"15/06/2021","08/06/2021",0.95,1.01,93.75,1.01,5076,0,6516,135186503.35,94.55,1,2
"NEWL11","Geral","Tijolo: Galpões","Brasil Plural SA Banco Múltiplo",0.9,0.85,"15/06/2021","31/05/2021",0.78,0.73,107.66,0.98,855,0,1550,218905446.39,105.87,1,2
"NEWU11","Geral","Tijolo: Escritórios","Brasil Plural SA Banco Múltiplo",0.11,0.24,"18/08/2020","11/08/2020",1.01,2.25,63.21,0.71,192,0,1812,46900867.62,45,1,2
"NPAR11","Geral","Papel: CRIs","Planner Trustee DTVM LTDA",41.01,30.84,"14/05/2021","30/04/2021",3.42,2.57,115.37,1.15,893,0,52,13797678.05,133,5,4
"NSLU11","Geral","Tijolo: Hospital","BTG Pactual",1.8,0.72,"08/06/2021","31/05/2021",2.28,0.91,213.07,1.17,3053,0,7631,243923226.97,250,1,2
"NVHO11","Geral","Tijolo: Hospital","Genial Investimentos Corretora de Valores",0.07,0.49,"09/06/2021","31/05/2021",0.09,0.61,12.37,1.16,754,0,2575,513493362.85,14.4,1,2
"NVIF11B","Investidor Qualificado","Tijolo: Desenvolvimento","Modal DTVM",0.3,0,"12/02/2021","29/01/2021",0.67,0,165.61,0,0,0,7,55877174.82,0,2,2
"ONEF11","Geral","Tijolo: Escritórios","Rio Bravo Investimentos",0.64,0.45,"15/06/2021","07/06/2021",0,0,160.54,0.88,1025,0,4257,146254528.05,141.06,2,2
"ORPD11","Investidor Qualificado","Tijolo: Desenvolvimento","Planner Trustee DTVM LTDA",1.38,1.1,"29/03/2019","28/02/2019",0.11,0.09,147.8,0.85,55,0,16,42861168.07,125,2,2
"OUFF11","Geral","Papel: Fundo de Fundos","Banco Ourinvest SA",0.65,0.77,"22/06/2021","15/06/2021",0.67,0.79,87.63,0.96,4335,0,8269,158988425.08,84.46,1,2
"OUJP11","Geral","Papel: CRIs","Finaxis CTVM SA",0.65,0.64,"15/06/2021","31/05/2021",0.71,0.69,103.02,0.99,35556,0.34,20707,335047577.06,101.96,1,2
"OULG11","Geral","Tijolo: Galpões","Banco Ourinvest SA",0.5,0.69,"22/06/2021","15/06/2021",0.62,0.86,93.52,0.78,6454,0.18,6677,232053394.57,72.5,1,2
"OURE11","Geral","Papel: CRIs","Banco Ourinvest SA",0.82,0.92,"22/06/2021","15/06/2021",0.73,0.82,99.28,0.89,2541,0,3622,82588575.8,88.69,1,2
"PABY11","Geral","Tijolo: Desenvolvimento","BRKB DTVM",0,0,"00/00/0000","00/00/0000",0,0,-7.83,0,145,0,439,-5941591.36,0,2,2
"PATC11","Geral","Tijolo: Escritórios","Modal DTVM",0.32,0.47,"09/06/2021","31/05/2021",0.32,0.47,86.27,0.79,14811,0.24,13487,299994986.42,67.75,1,2
"PATL11","Geral","Tijolo: Galpões","Vórtx DTVM LTDA",0.57,0.63,"09/06/2021","31/05/2021",0.42,0.46,96.24,0.94,54423,0.45,12904,480384513.48,90.01,4,5
"PBLV11","Investidor Qualificado","Tijolo: Galpões","BRL Trust DTVM",28.19,0,"29/01/2021","21/01/2021",6.38,0,1342.93,0,0,0,2,3689158833.54,0,3,1
"PEMA11","Investidor Qualificado","Papel: CRIs","BRL Trust DTVM",0.59,0.67,"15/06/2021","31/05/2021",0.05,0.06,101.64,0.87,44,0,66,56106293.35,88,2,2
"PLCR11","Geral","Papel: CRIs","Brasil Plural SA Banco Múltiplo",0.95,1.01,"15/06/2021","31/05/2021",0.65,0.7,97.5,0.96,25929,0.21,6115,205645868.44,93.79,1,2
"PLOG11","Geral","Tijolo: Galpões","Banco Genial",0.68,0.72,"15/06/2021","31/05/2021",0.12,0.12,95.2,0.99,2099,0,1631,71398808.69,93.99,2,2
"PLRI11","Investidor Qualificado","Papel: CRIs","Oliveira Trust",0.23,0.51,"08/06/2021","31/05/2021",0.25,0.55,55.32,0.83,405,0,793,52788623.53,46.01,1,2
"PORD11","Geral","Papel: CRIs","Oliveira Trust",1,0.97,"08/06/2021","31/05/2021",0.9,0.87,101.37,1.02,7801,0.42,8850,199977610.24,103,1,2
"PQAG11","Geral","Tijolo: Galpões","Hedge Investments DTVM LTDA",0.36,0.56,"15/06/2021","31/05/2021",0,0,54.39,1.17,291,0,385,761036339.46,63.75,1,2
"PQDP11","Geral","Tijolo: Shoppings","BTG Pactual",1.88,0.07,"18/06/2021","31/05/2021",6.21,0.22,3636.39,0.79,620,0,4170,867195308.31,2868.99,1,2
"PRSN11B","Investidor Qualificado","Tijolo: Desenvolvimento","Oliveira Trust",0.02,2.41,"15/01/2021","08/01/2021",0.06,7.74,0.45,1.67,3170,0,1197,23280283.39,0.75,1,4
"PRSV11","Geral","Tijolo: Escritórios","Hedge Investments DTVM LTDA",1.62,0.42,"15/10/2020","30/09/2020",2.04,0.53,237.72,1.61,354,0,1230,46355327.15,382,1,2
"PRTS11","Investidor Qualificado","Tijolo: Shoppings","Banco Modal SA",0,0,"00/00/0000","00/00/0000",0,0,0.09,0,0,0,11,4894470.14,0,2,2
"PVBI11","Geral","Tijolo: Escritórios","BTG Pactual",0.54,0.57,"08/06/2021","31/05/2021",0.37,0.39,96.44,0.99,72029,0.94,31680,937403918.87,95,4,5
"QAGR11","Geral","Tijolo: Outros","BTG Pactual",0.38,0.71,"09/06/2021","01/06/2021",0.4,0.75,58.41,0.91,28688,0.27,18019,294400660.1,53.4,1,2
"QAMI11","Geral","Papel: CRIs","Banco Genial",0.98,1.03,"15/06/2021","31/05/2021",0.11,0.12,95.13,1,241,0,603,76240155.14,95,2,2
"QIFF11","Geral","Papel: Fundo de Fundos","BRL Trust DTVM",0.73,0.7,"15/06/2021","31/05/2021",0.63,0.6,96.15,1.09,321,0,188,14422226.23,104.9,1,2
"RBBV11","Geral","Tijolo: Desenvolvimento","Caixa Econômica Federal",27.19,27.6,"08/07/2021","02/06/2021",0,0,100.31,0.98,732,0,3143,125807524.8,98.5,5,4
"RBCO11","Geral","Tijolo: Escritórios","BRL Trust DTVM",0.39,0.67,"15/06/2021","31/05/2021",0.5,0.85,101.11,0.58,7682,0,4236,382112991.3,58.29,1,2
"RBDS11","Investidor Qualificado","Tijolo: Desenvolvimento","Oliveira Trust",1.84,2.65,"10/12/2019","29/11/2019",1.92,2.75,31.06,2.24,281,0,1017,3930061.2,69.6,1,2
"RBED11","Geral","Tijolo: Educacional","Rio Bravo Investimentos",1.03,0.7,"15/06/2021","31/05/2021",1.1,0.74,150.32,0.98,6435,0.3,11879,303894530.56,147.55,1,2
"RBFF11","Geral","Papel: Fundo de Fundos","BRL Trust DTVM",0.5,0.73,"15/06/2021","31/05/2021",0.53,0.77,71.7,0.96,13446,0.26,19097,268634459.58,68.71,1,2
"RBGS11","Geral","Tijolo: Shoppings","Oliveira Trust",0.02,0.06,"15/06/2021","31/05/2021",0.11,0.28,90.74,0.42,1653,0,2959,97817118.87,38.17,1,2
"RBHY11","Geral","Papel: CRIs","BRL Trust DTVM",1.2,1.17,"15/06/2021","31/05/2021",0.29,0.28,101.79,1.01,317,0,216,61072405.02,102.8,1,2
"RBIR11","Geral","Tijolo: Desenvolvimento","Oliveira Trust",0,0,"00/00/0000","00/00/0000",0,0,96.7,0,295,0,1197,147816452.31,0,2,2
"RBIV11","Geral","Papel: CRIs","BRL Trust DTVM",0.7,0.84,"15/06/2021","31/05/2021",0.62,0.74,102.96,0.81,4803,0,3142,105464967.11,83.5,1,2
"RBLG11","Investidor Qualificado","Tijolo: Galpões","BTG Pactual",0.53,0.49,"08/06/2021","01/06/2021",0.12,0.12,114.05,0.94,4,0,64,73013549.43,107,2,2
"RBRD11","Geral","Tijolo: Varejo","Votorantim Asset Management",0.05,0.08,"15/06/2021","31/05/2021",1.68,2.8,71.44,0.84,3198,0.11,12020,132282376.33,60.1,1,2
"RBRF11","Geral","Papel: Fundo de Fundos","BTG Pactual",0.6,0.68,"17/06/2021","10/06/2021",0,0,89.62,0.98,56430,1.21,73350,1226124289.97,87.93,4,5
"RBRL11","Geral","Tijolo: Galpões","BRL Trust DTVM",0.7,0.65,"15/06/2021","08/06/2021",0.73,0.68,106.99,1,33325,0,5791,715432791.49,106.89,4,5
"RBRM11","Investidor Qualificado","Tijolo: Desenvolvimento","BTG Pactual",15.5,0,"19/04/2021","12/04/2021",1680.36,0,163617.05,0,1,0,54,88189591.65,0,6,3
"RBRP11","Geral","Tijolo: Escritórios","BRL Trust DTVM",0.32,0.37,"15/06/2021","08/06/2021",0.53,0.62,86.63,0.99,71023,1.03,88346,1055098676.95,85.9,4,5
"RBRR11","Geral","Papel: CRIs","BTG Pactual",0.8,0.79,"17/06/2021","10/06/2021",0,0,99.51,1.02,64327,1.05,70464,760100875.11,101.5,4,5
"RBRS11","Geral","Tijolo: Desenvolvimento","Rio Bravo Investimentos",0.4,0.54,"15/06/2021","31/05/2021",0.2,0.27,96.4,0.77,252,0,1153,100701755.51,74.57,1,2
"RBRY11","Geral","Papel: CRIs","BTG Pactual",0.75,0.72,"17/06/2021","10/06/2021",0,0,102.96,1.01,21070,0,8933,349785652.72,104.1,1,2
"RBTS11","Investidor Qualificado","Tijolo: Desenvolvimento","Oliveira Trust",0,0,"00/00/0000","00/00/0000",0,0,1050.75,0,1,0,56,59393774.96,0,2,2
"RBVA11","Geral","Tijolo: Bancário","Rio Bravo Investimentos",0.85,0.77,"15/06/2021","31/05/2021",0.95,0.85,113.98,0.97,17378,1.32,40696,1320790070.8,110.73,1,5
"RBVO11","Geral","Papel: CRIs","Rio Bravo Investimentos",0.04,0.35,"09/06/2021","31/05/2021",0.08,0.62,22.88,0.55,1075,0,2066,11801375.84,12.5,1,2
"RCFA11","Investidor Qualificado","Tijolo: Desenvolvimento","Terra Investimentos DTVM",0,0,"00/00/0000","00/00/0000",0,0,1.56,0,10830,0,3617,18263993,0,2,2
"RCFF11","Investidor Qualificado","Papel: Fundo de Fundos","BRL Trust DTVM",3.11,2.87,"22/01/2021","14/01/2021",0.16,0.15,98.34,1.1,113,0,81,31782377.65,108.5,1,2
"RCRB11","Geral","Tijolo: Escritórios","Rio Bravo Investimentos",0.8,0.52,"15/06/2021","07/06/2021",0,0,196.41,0.78,35644,0.56,29434,724878219.59,152.41,1,5
"RCRI11B","Investidor Qualificado","Papel: CRIs","Oliveira Trust",19.7,0,"01/03/2021","19/02/2021",7.46,0,1032.9,0,2,0,148,52690426.09,0,2,2
"RDPD11","Geral","Papel: CRIs","Votorantim Asset Management",0.41,0.49,"15/06/2021","31/05/2021",0.43,0.51,98.84,0.85,380,0,770,106549724.7,84.23,1,2
"RECR11","Geral","Papel: CRIs","BRL Trust DTVM",1.2,1.16,"15/06/2021","08/06/2021",1.19,1.15,95.78,1.08,74358,1.92,72320,1363525760.42,103.69,4,5
"RECT11","Geral","Indefinido","BRL Trust DTVM",0.6,0.74,"15/06/2021","08/06/2021",0.77,0.95,93.05,0.87,55854,0.65,73544,761087076.66,80.91,4,5
"RECX11","Geral","Papel: Fundo de Fundos","BTG Pactual",0.9,0.95,"22/06/2021","15/06/2021",0.15,0.16,91.57,1.04,72,0,348,18144483.26,95.1,2,2
"REIT11","Investidor Qualificado","Papel: CRIs","Socopa Sociedade Corretora Paulista",24.53,2.2,"15/04/2021","31/03/2021",21.64,1.94,1264.03,0.88,281,0,61,33232500.09,1113.2,1,2
"RELG11","Geral","Tijolo: Galpões","BRL Trust DTVM",0.7,0.72,"15/06/2021","08/06/2021",0.39,0.4,96.51,1.01,3727,0,3661,123734508.39,97.48,1,2
"RFOF11","Geral","Papel: Fundo de Fundos","BRL Trust DTVM",0.63,0.77,"14/06/2021","31/05/2021",0.57,0.69,91.83,0.89,11085,0.09,3500,99008768.48,81.97,1,2
"RMAI11","Geral","Tijolo: Escritórios","Reag DTVM",5.33,0,"10/05/2016","02/05/2016",0,0,108.63,0,171,0,1158,265475108.03,0,2,2
"RNDP11","Geral","Papel: CRIs","Votorantim Asset Management",4.14,0.58,"15/06/2021","31/05/2021",3.89,0.55,769.82,0.92,197,0,875,82740838.99,708,1,2
"RNGO11","Geral","Tijolo: Escritórios","Rio Bravo Investimentos",0.37,0.59,"15/06/2021","31/05/2021",0.46,0.73,101.25,0.62,7420,0.17,15881,270942156.09,63.11,1,2
"RRCI11","Geral","Papel: CRIs","BRL Trust DTVM",0.7,0.8,"14/06/2021","31/05/2021",0,0,96.98,0.9,1249,0,1983,46722236.46,87.28,2,2
"RSPD11","Investidor Qualificado","Tijolo: Desenvolvimento","Oliveira Trust",0,0,"00/00/0000","00/00/0000",0,0,1144.43,0,4,0,30,170503384.96,0,2,2
"RVBI11","Geral","Papel: Fundo de Fundos","BRL Trust DTVM",0.72,0.76,"16/06/2021","09/06/2021",0,0,92.49,1.02,12151,0.14,11037,133183538.96,94.69,2,2
"RZAK11","Geral","Papel: CRIs","BTG Pactual",0.9,0.94,"22/06/2021","15/06/2021",0,0,97.21,0.99,26735,0,6713,291794705.84,95.9,1,2
"RZTR11","Geral","Indefinido","Brasil Plural SA Banco Múltiplo",0.5,0.49,"08/06/2021","31/05/2021",0.43,0.43,96.81,1.05,69877,1.03,30109,1069504651.37,101.79,4,5
"SADI11","Geral","Papel: CRIs","Santander Securities Services Brasil DTVM",0.28,0.33,"15/06/2021","31/05/2021",0.22,0.26,100.45,0.84,16589,0.27,2860,319447459.61,84.1,1,2
"SAIC11B","Investidor Qualificado","Tijolo: Escritórios","BRB DTVM",0.66,1.09,"16/10/2018","01/10/2018",0,0,54.39,1.12,2,0,52,77761114.57,61,2,2
"SARE11","Geral","Indefinido","Santander Securities Services Brasil DTVM",0.64,0.63,"15/06/2021","31/05/2021",0.42,0.41,100.08,1.01,15468,0.56,6586,535903649.61,101.1,1,2
"SCPF11","Geral","Tijolo: Shoppings","BR-CAPITAL",0.01,0.09,"15/06/2021","07/06/2021",0,0,12.65,0.72,1443,0,4699,53134151.13,9.1,2,2
"SDIL11","Geral","Tijolo: Galpões","Rio Bravo Investimentos",0.6,0.63,"15/06/2021","31/05/2021",0.61,0.64,100.36,0.94,34258,0.62,45975,641814142.33,94.5,4,5
"SEQR11","Geral","Indefinido","Vórtx DTVM LTDA",0.67,0.83,"15/06/2021","08/06/2021",0,0,105.78,0.76,4252,0,1283,156776100.9,80.85,2,2
"SFND11","Geral","Tijolo: Escritórios","Rio Bravo Investimentos",5.51,0,"15/12/2020","07/12/2020",7.66,0,17.96,0,0,0,55,17631763.89,0,2,2
"SHDP11B","Geral","Tijolo: Shoppings","BTG Pactual",1.21,0,"18/06/2021","11/06/2021",0,0,1490.4,0,2,0,3,2141110424.01,0,3,5
"SHOP11","Investidor Qualificado","Tijolo: Shoppings","Banco Modal SA",0,0,"00/00/0000","00/00/0000",0,0,60,0,0,0,11,88878414.23,0,2,2
"SHPH11","Geral","Tijolo: Shoppings","Rio Bravo Investimentos",2.2,0.27,"15/06/2021","31/05/2021",2.18,0.27,822.29,1,754,0,3131,500734117.94,820,1,2
"SJAU11","Investidor Qualificado","Tijolo: Galpões","Vórtx DTVM LTDA",0,0,"00/00/0000","00/00/0000",0,0,99.97,0,7,0,115,792986642.01,0,1,2
"SNFF11","Geral","Papel: Fundo de Fundos","BTG Pactual",0.12,0.12,"25/06/2021","15/06/2021",0.01,0.01,97.35,1.06,134113,0,23884,243372074.74,103.28,4,5
"SOLR11","Geral","Tijolo: Outros","BRL Trust DTVM",76.33,0,"12/02/2021","02/02/2021",0,0,1033.97,0,2,0,32,65018883.98,0,2,2
"SPAF11","Investidor Qualificado","Tijolo: Shoppings","Brasil Plural SA Banco Múltiplo",3.45,0,"08/06/2021","31/05/2021",0,0,1003.17,0,0,0,1,11305743.83,0,2,2
"SPTW11","Geral","Tijolo: Escritórios","Genial Investimentos Corretora de Valores",0.6,1.23,"08/06/2021","31/05/2021",1.18,2.43,51.94,0.94,13213,0.1,17378,93395880.85,48.78,1,2
"STRX11","Geral","Tijolo: Desenvolvimento","Oliveira Trust",52.68,0,"08/06/2021","31/05/2021",41.82,0,18295.17,0,0,0,53,295203364.69,0,1,2
"TBOF11","Geral","Tijolo: Escritórios","BTG Pactual",0.09,0,"31/07/2020","22/07/2020",0.86,0,0.13,0,2769,0,9158,1313498.11,0,2,2
"TCIN11","Investidor Qualificado","Tijolo: Escritórios","Singulare CTVM",0,0,"00/00/0000","00/00/0000",0,0,126.44,0,114,0,111,88914056.89,0,2,2
"TCPF11","Geral","Indefinido","BR-CAPITAL",12.46,0,"18/06/2021","10/06/2021",0,0,108.89,0,0,0,52,32377415.77,0,2,2
"TEPP11","Geral","Tijolo: Escritórios","BRL Trust DTVM",0.45,0.57,"15/06/2021","31/05/2021",0.53,0.66,94.49,0.84,15230,0.34,8012,398937744.5,79.34,1,2
"TGAR11","Geral","Tijolo: Desenvolvimento","Vórtx DTVM LTDA",1.16,0.84,"09/06/2021","31/05/2021",1.28,0.92,127.65,1.09,57907,1.46,52224,944421581.48,138.6,4,5
"THRA11","Geral","Tijolo: Escritórios","Hedge Investments DTVM LTDA",0.15,0.11,"15/06/2021","08/06/2021",0.52,0.38,113.82,1.2,1166,0,2219,167623420.09,136.6,1,2
"TORD11","Geral","Indefinido","Vórtx DTVM LTDA",0.07,0.66,"15/06/2021","08/06/2021",0.12,1.13,10.62,1,74264,0.37,62700,285831314.3,10.59,4,5
"TORM13","Investidor Qualificado","Tijolo: Desenvolvimento","Vórtx DTVM LTDA",9.96,0,"15/06/2021","31/05/2021",3.79,0,1807.68,0,0,0,324,18076809.44,0,2,2
"TOUR11","Investidor Qualificado","Tijolo: Desenvolvimento","Vórtx DTVM LTDA",1.99,1.68,"15/06/2021","31/05/2021",0,0,583.35,0.2,149,0,207,5833523.87,118.47,2,2
"TRNT11","Geral","Tijolo: Escritórios","BTG Pactual",0.4,0.27,"18/06/2021","11/06/2021",0,0,207.32,0.71,460,0,712,815933561.16,147.41,1,2
"TRXB11","Geral","Tijolo: Desenvolvimento","BRL Trust DTVM",0.8,0.67,"15/06/2021","31/05/2021",0.62,0.52,105.79,1.12,181,0,118,264631855.7,119,1,2
"TRXF11","Geral","Tijolo: Outros","BRL Trust DTVM",0.7,0.66,"15/06/2021","31/05/2021",0.7,0.66,106.11,0.99,50288,0.61,28515,598611038.92,105.48,4,5
"TSNC11","Geral","Tijolo: Outros","BTG Pactual",35.1,0,"22/06/2021","15/06/2021",39.14,0,5447.93,0,0,0,66,98678322.71,0,2,2
"URPR11","Geral","Papel: CRIs","Vórtx DTVM LTDA",2.06,1.64,"15/06/2021","31/05/2021",1.77,1.41,99.92,1.26,25540,0.22,9096,165905711.66,125.8,1,2
"VCJR11","Geral","Papel: CRIs","INTRAG DTVM",0.79,0.77,"14/06/2021","31/05/2021",0.75,0.74,98.96,1.03,8981,1.17,6697,1148318898.79,102,1,5
"VCRR11","Geral","Tijolo: Outros","BRL Trust DTVM",0,0,"00/00/0000","00/00/0000",0,0,100,0,0,0,1854,2e+08,0,2,2
"VERE11","Geral","Tijolo: Galpões","Votorantim Asset Management",2.04,0,"10/06/2021","31/05/2021",1.74,0,314.26,0,1,0,54,172871056.1,0,2,2
"VGHF11","Geral","Papel: Híbrido","Banco Daycoval SA",0.1,1.05,"08/06/2021","31/05/2021",0.02,0.22,9.77,0.98,15728,0,2640,160838723.42,9.54,1,2
"VGIP11","Geral","Papel: CRIs","BTG Pactual",1.04,1.01,"18/06/2021","11/06/2021",0,0,95.66,1.07,45063,0.78,30529,514430345.26,102.64,1,5
"VGIR11","Geral","Papel: CRIs","BTG Pactual",0.5,0.55,"18/06/2021","11/06/2021",0,0,96.77,0.94,29564,0.41,22274,436095972.9,91.2,1,2
"VIFI11","Geral","Papel: Fundo de Fundos","BRL Trust DTVM",0.6,0.67,"15/06/2021","31/05/2021",0.62,0.7,98.51,0.9,15843,0,4348,277055966.59,89.04,1,2
"VILG11","Geral","Tijolo: Galpões","BRL Trust DTVM",0.57,0.49,"15/06/2021","31/05/2021",0.6,0.51,114.46,1.02,90900,1.8,135467,1716537713.31,117.02,4,5
"VINO11","Geral","Tijolo: Escritórios","BRL Trust DTVM",0.45,0.75,"15/06/2021","31/05/2021",0.43,0.72,59.85,1.01,53934,0.78,77055,758552977.13,60.25,4,5
"VISC11","Geral","Tijolo: Shoppings","BRL Trust DTVM",0.35,0.32,"15/06/2021","31/05/2021",0.35,0.32,119.45,0.91,66770,1.59,194012,1704682134.9,109.11,4,5
"VLJS11","Investidor Qualificado","Tijolo: Escritórios","Planner Corretora de Valores",18.24,0,"20/06/2021","31/05/2021",0,0,798.14,0,0,0,12,47072303.02,0,2,2
"VLOL11","Geral","Tijolo: Escritórios","Oliveira Trust",0.41,0.41,"15/06/2021","31/05/2021",0.45,0.46,96.97,1.02,1839,0,4772,173066588.66,99.01,1,2
"VOTS11","Geral","Papel: CRIs","Votorantim Asset Management",0.41,0.49,"15/06/2021","31/05/2021",0.39,0.47,98.93,0.83,197,0,305,81909487.55,82.52,1,2
"VPSI11","Geral","Tijolo: Shoppings","Votorantim Asset Management",0.05,0,"11/06/2021","02/06/2021",0,0,18.22,0,0,0,57,147044918.71,0,2,2
"VRTA11","Geral","Papel: CRIs","Banco Fator",1.04,0.93,"15/06/2021","31/05/2021",0.87,0.77,101.07,1.11,29586,1.13,91020,1010652173.25,112.42,4,5
"VSEC11","Investidor Qualificado","Papel: CRIs","Votorantim Asset Management",3.04,3.11,"15/06/2021","31/05/2021",0,0,0.38,256.86,887,0,41,6393711.59,97.48,6,6
"VSHO11","Geral","Tijolo: Shoppings","Votorantim Asset Management",0.35,0.47,"09/06/2021","31/05/2021",0.11,0.15,100.44,0.74,693,0,1835,210803855.72,73.83,2,2
"VSLH11","Geral","Papel: CRIs","Vórtx DTVM LTDA",0.17,1.64,"15/06/2021","08/06/2021",0,0,10.07,1.03,15843,0,5414,120827259.18,10.39,1,2
"VTLT11","Geral","Tijolo: Galpões","Votorantim Asset Management",0.75,0.69,"09/06/2021","31/05/2021",0.74,0.67,102.21,1.07,12495,0.23,5540,216175118.26,109,1,2
"VVPR11","Geral","Tijolo: Escritórios","BTG Pactual",0.65,0.65,"08/06/2021","31/05/2021",0.66,0.66,100,1,1168,0,1139,230577817.74,100,1,2
